phase,fold,seed,model,target,mae,rmse,wape,smape,mape,bias,mase,rmsse
holdout,0,,Ridge,carts,2240.730755014969,3188.1326487086694,0.08904437535857465,0.09231878682907065,0.09339738717458515,147.68609045231653,0.6362533325322313,0.5757989966690438
holdout,0,,Ridge,orders,887.086985081528,1278.2550749847999,0.12175910164382275,0.12738949370765631,0.1332510281350782,231.78212039286532,0.6371877991068237,0.5770197594697439
holdout,0,,Extra Trees,carts,2983.720645471965,4338.158623736009,0.1185700426193148,0.10911814352254964,0.10873675199838148,-377.3184939618858,0.8472245939312221,0.7835017103037145
holdout,0,,Extra Trees,orders,974.4528783792981,1528.131546244642,0.13375070208565418,0.12453543927985371,0.1276842260700557,15.144898301468151,0.6999420523013866,0.6898170126668157
holdout,0,,Persistence,carts,14658.261415525114,18432.62806112373,0.5825044926378986,0.7398288838900553,1.6120107015756613,-1545.8470319634703,4.162199163769754,3.3290612132677806
holdout,0,,Persistence,orders,4608.622716894977,5793.995811925247,0.6325667846123051,0.8204322307732623,2.339380418489266,-510.60445205479454,3.3103384620417295,2.615479598080661
holdout,0,,Seasonal naive 24h,carts,4064.792808219178,5508.5306887358165,0.16153075766012112,0.16156408896623464,0.15647589768527792,-2040.435502283105,1.1541939898375795,0.9948790697210914
holdout,0,,Seasonal naive 24h,orders,1243.9554794520548,1792.895236735453,0.1707418823747851,0.1737439217726761,0.17111480484335118,-704.4417808219179,0.8935237101534987,0.8093345361979827
holdout,0,,Seasonal naive 168h,carts,2465.1518264840183,3539.2670925647044,0.09796264190244151,0.09558596936265083,0.09415235100335159,-717.1552511415525,0.6999774789041513,0.6392163267321892
holdout,0,,Seasonal naive 168h,orders,826.3864155251141,1168.391040644547,0.11342750965481609,0.12117606010690307,0.1206824501102126,-201.26769406392694,0.5935870440843302,0.5274258091620228
holdout,0,,Seasonal blend 24h+168h,carts,2868.33247716895,4201.398049093125,0.1139846334409401,0.10603401047690365,0.1033919041062495,-1378.7953767123288,0.8144602350481787,0.7588017964857777
holdout,0,,Seasonal blend 24h+168h,orders,921.2211757990867,1353.2095011157057,0.12644426608316675,0.12955015233678818,0.12760948043651885,-452.8547374429224,0.6617061273242248,0.6108550915436356
holdout,0,42,Transformer,carts,3194.64858186626,4606.524599233436,0.12695210561366044,0.13179083187524926,0.12878310779777644,8.807251812660532,0.9071173776379018,0.8319704775910847
holdout,0,42,Transformer,orders,1053.4693724401466,1565.6053821703358,0.1445962871226268,0.1503252327376994,0.15000084372457395,65.01054716763431,0.756698995859906,0.7067331542221383
holdout,0,123,Transformer,carts,4220.666402877738,6019.19695792142,0.16772501676073065,0.1755501400271426,0.17374549311392817,110.97565881737836,1.1984541464107525,1.0871089603277115
holdout,0,123,Transformer,orders,1475.2836061939256,2160.0600677403663,0.20249334009056924,0.19988716926959127,0.2102533547303784,391.4410233171019,1.0596849349589899,0.9750771697445177
holdout,0,2026,Transformer,carts,3188.2981605007226,4470.4551367302,0.1266997462873592,0.13180769967700226,0.13012269034447393,375.47524996544126,0.9053141816279555,0.8073953834467449
holdout,0,2026,Transformer,orders,1029.760435548547,1510.7123166633958,0.14134206413728345,0.1452085306998645,0.14829894435439295,278.19256616183065,0.7396690477587822,0.6819537623188845
holdout,0,3407,Transformer,carts,3151.170954525743,4371.512930874733,0.12522434864868615,0.13262518914099455,0.13022980777193616,185.7449306679643,0.894771947369635,0.789525730851557
